season_episode,season,episode,episode_type,contestant_id,contestant,outcome
S1E 6,1,6,Ball,2,BeBe Zahara Benet,WIN
S1E 6,1,6,Ball,4,Nina Flowers,HIGH
S1E 6,1,6,Ball,6,Rebecca Glasscock,BTM
S1E 6,1,6,Ball,7,Shannel,ELIM
S1E 6,1,6,Ball,5,Ongina,
S1E 6,1,6,Ball,3,Jade,
S1E 6,1,6,Ball,1,Akashia,
S1E 6,1,6,Ball,8,Tammie Brown,
S1E 6,1,6,Ball,9,"Victoria ""Porkchop"" Parker",
S2E 9,2,9,Ball,21,Tyra Sanchez,WIN
S2E 9,2,9,Ball,16,Raven,HIGH
S2E 9,2,9,Ball,11,Jujubee,BTM
S2E 9,2,9,Ball,20,Tatianna,ELIM
S2E 9,2,9,Ball,15,Pandora Boxx,
S2E 9,2,9,Ball,10,Jessica Wild,
S2E 9,2,9,Ball,17,Sahara Davenport ,
S2E 9,2,9,Ball,12,Morgan McMichaels,
S2E 9,2,9,Ball,19,Sonique,
S2E 9,2,9,Ball,13,Mystique Summers Madison,
S2E 9,2,9,Ball,14,Nicole Paige Brooks,
S2E 9,2,9,Ball,18,Shangela,
S3E11,3,11,Ball,30,Raja,HIGH
S3E13,3,13,Ball,30,Raja,HIGH
S3E11,3,11,Ball,26,Manila Luzon,HIGH
S3E13,3,13,Ball,26,Manila Luzon,WIN
S3E11,3,11,Ball,22,Alexis Mateo,BTM
S3E13,3,13,Ball,22,Alexis Mateo,BTM
S3E11,3,11,Ball,33,Yara Sofia,WIN
S3E13,3,13,Ball,33,Yara Sofia,ELIM
S3E11,3,11,Ball,23,Carmen Carrera,
S3E13,3,13,Ball,23,Carmen Carrera,
S3E11,3,11,Ball,18,Shangela,ELIM
S3E13,3,13,Ball,18,Shangela,
S3E11,3,11,Ball,24,Delta Work,
S3E13,3,13,Ball,24,Delta Work,
S3E11,3,11,Ball,31,Stacy Layne Matthews,
S3E13,3,13,Ball,31,Stacy Layne Matthews,
S3E11,3,11,Ball,27,Mariah,
S3E13,3,13,Ball,27,Mariah,
S3E11,3,11,Ball,25,India Ferrah,
S3E13,3,13,Ball,25,India Ferrah,
S3E11,3,11,Ball,28,Mimi Imfurst,
S3E13,3,13,Ball,28,Mimi Imfurst,
S3E11,3,11,Ball,29,Phoenix,
S3E13,3,13,Ball,29,Phoenix,
S3E11,3,11,Ball,32,Venus D-Lite,
S3E13,3,13,Ball,32,Venus D-Lite,
S4E 11,4,11,Ball,44,Sharon Needles,WIN
S4E 11,4,11,Ball,35,Chad Michaels,BTM
S4E 11,4,11,Ball,43,Phi Phi O'Hara,HIGH
S4E 11,4,11,Ball,40,Latrice Royale,ELIM
S4E 11,4,11,Ball,38,Kenya Michaels,
S4E 11,4,11,Ball,36,DiDa Ritz,
S4E 11,4,11,Ball,46,Willam,
S4E 11,4,11,Ball,37,Jiggly Caliente,
S4E 11,4,11,Ball,42,Milan,
S4E 11,4,11,Ball,41,Madame LaQueer,
S4E 11,4,11,Ball,45,The Princess,
S4E 11,4,11,Ball,39,Lashauwn Beyond,
